Temperature, Ratio_85%
-9.864823242572626, 1.2654124819730739
-4.831791869244704, 1.196802217635731
0.20446348126206004, 1.170297095254133
5.130499111966984, 1.1043224322604974
10.271936717933649, 1.051497566185085
15.196158861475475, 0.9618387608413428
20.01701223672051, 0.9221838415415218
25.051454100064177, 0.8719945768098172
30.088313946291983, 0.8533841685449213
35.231162042274384, 0.8189803020751474
39.941594199143886, 0.7372242707910546
45.19002754773357, 0.6817638033719349
50.11807816417525, 0.64210485410064