Temperature,Ratio_33%,Ratio_85%
1.1764705882352935, 1.193965517241379,1.0150862068965516
5.049019607843135, 1.1228448275862069, 0.9698275862068964
11.519607843137251, 1.0517241379310343,0.9094827586206895
16.323529411764703, 1.023706896551724,0.8793103448275861
20, 0.9999999999999999,0.8620689655172413
27.107843137254903, 0.9655172413793102,0.8275862068965516
32.35294117647058, 0.9374999999999999,0.8060344827586207
36.81372549019607, 0.9224137931034482,0.7866379310344825
43.970588235294116, 0.8922413793103448,0.7607758620689654
49.950980392156865, 0.8642241379310344,0.7392241379310345